Date,Site ID,POC,Daily Mean PM10 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,Method Description,CBSA Code,CBSA Name,Site Latitude,Site Longitude,Dominant Source,Elevation (m),Measurement Scale,Measurement Scale Definition,Monitor Type,Monitoring Agency,Monitoring Objective,NAAQS Primary Monitor?,Networks,Probe Height (m),QA Primary Monitor?
2022-02-10,010730023,4,48,Micrograms/cubic meter (25 C),44,North Birmingham,1,100,81102,PM10 Total 0-10um STP,239,Teledyne API T640X at 16.67 LPM - Broadband spectroscopy,13820,"Birmingham-Hoover, AL",33.553056,-86.815,AREA,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",HIGHEST CONCENTRATION,Y,NCORE,4,
2022-02-11,010730023,4,37,Micrograms/cubic meter (25 C),34,North Birmingham,1,100,81102,PM10 Total 0-10um STP,239,Teledyne API T640X at 16.67 LPM - Broadband spectroscopy,13820,"Birmingham-Hoover, AL",33.553056,-86.815,AREA,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",HIGHEST CONCENTRATION,Y,NCORE,4,
2022-02-12,010730023,4,19,Micrograms/cubic meter (25 C),18,North Birmingham,1,100,81102,PM10 Total 0-10um STP,239,Teledyne API T640X at 16.67 LPM - Broadband spectroscopy,13820,"Birmingham-Hoover, AL",33.553056,-86.815,AREA,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",HIGHEST CONCENTRATION,Y,NCORE,4,
2022-02-13,010730023,4,10,Micrograms/cubic meter (25 C),9,North Birmingham,1,100,81102,PM10 Total 0-10um STP,239,Teledyne API T640X at 16.67 LPM - Broadband spectroscopy,13820,"Birmingham-Hoover, AL",33.553056,-86.815,AREA,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",HIGHEST CONCENTRATION,Y,NCORE,4,
2022-02-14,010730023,4,36,Micrograms/cubic meter (25 C),33,North Birmingham,1,100,81102,PM10 Total 0-10um STP,239,Teledyne API T640X at 16.67 LPM - Broadband spectroscopy,13820,"Birmingham-Hoover, AL",33.553056,-86.815,AREA,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",HIGHEST CONCENTRATION,Y,NCORE,4,
2022-02-15,010730023,4,52,Micrograms/cubic meter (25 C),48,North Birmingham,1,100,81102,PM10 Total 0-10um STP,239,Teledyne API T640X at 16.67 LPM - Broadband spectroscopy,13820,"Birmingham-Hoover, AL",33.553056,-86.815,AREA,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",HIGHEST CONCENTRATION,Y,NCORE,4,
2022-02-16,010730023,4,34,Micrograms/cubic meter (25 C),31,North Birmingham,1,100,81102,PM10 Total 0-10um STP,239,Teledyne API T640X at 16.67 LPM - Broadband spectroscopy,13820,"Birmingham-Hoover, AL",33.553056,-86.815,AREA,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",HIGHEST CONCENTRATION,Y,NCORE,4,
2022-02-18,010730023,4,10,Micrograms/cubic meter (25 C),9,North Birmingham,1,100,81102,PM10 Total 0-10um STP,239,Teledyne API T640X at 16.67 LPM - Broadband spectroscopy,13820,"Birmingham-Hoover, AL",33.553056,-86.815,AREA,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",HIGHEST CONCENTRATION,Y,NCORE,4,
2022-02-19,010730023,4,13,Micrograms/cubic meter (25 C),12,North Birmingham,1,100,81102,PM10 Total 0-10um STP,239,Teledyne API T640X at 16.67 LPM - Broadband spectroscopy,13820,"Birmingham-Hoover, AL",33.553056,-86.815,AREA,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",HIGHEST CONCENTRATION,Y,NCORE,4,
2022-02-20,010730023,4,19,Micrograms/cubic meter (25 C),18,North Birmingham,1,100,81102,PM10 Total 0-10um STP,239,Teledyne API T640X at 16.67 LPM - Broadband spectroscopy,13820,"Birmingham-Hoover, AL",33.553056,-86.815,AREA,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",HIGHEST CONCENTRATION,Y,NCORE,4,
